Probability,Average Percent Burned,Average Iterations
0.000000, 0.000000, 2
0.010000, 0.000094, 2
0.020000, 0.000230, 2
0.030000, 0.000315, 2
0.040000, 0.000456, 2
0.050000, 0.000592, 2
0.060000, 0.000725, 2
0.070000, 0.000991, 2
0.080000, 0.001096, 2
0.090000, 0.001227, 2
0.100000, 0.001378, 2
0.110000, 0.001624, 2
0.120000, 0.001856, 2
0.130000, 0.002104, 2
0.140000, 0.002340, 2
0.150000, 0.002690, 2
0.160000, 0.002955, 2
0.170000, 0.003353, 3
0.180000, 0.003712, 3
0.190000, 0.004211, 3
0.200000, 0.004501, 3
0.210000, 0.005244, 3
0.220000, 0.005848, 3
0.230000, 0.006389, 3
0.240000, 0.007259, 3
0.250000, 0.008006, 4
0.260000, 0.009081, 4
0.270000, 0.009822, 4
0.280000, 0.010875, 4
0.290000, 0.012888, 4
0.300000, 0.014299, 5
0.310000, 0.016502, 5
0.320000, 0.019139, 5
0.330000, 0.021745, 6
0.340000, 0.024717, 6
0.350000, 0.029859, 7
0.360000, 0.035788, 8
0.370000, 0.039924, 8
0.380000, 0.046956, 9
0.390000, 0.055635, 10
0.400000, 0.067532, 11
0.410000, 0.078876, 12
0.420000, 0.096421, 13
0.430000, 0.112432, 14
0.440000, 0.137585, 16
0.450000, 0.165481, 17
0.460000, 0.192694, 19
0.470000, 0.233129, 21
0.480000, 0.269336, 22
0.490000, 0.320794, 24
0.500000, 0.373534, 26
0.510000, 0.421437, 27
0.520000, 0.484719, 29
0.530000, 0.534970, 30
0.540000, 0.594803, 31
0.550000, 0.655601, 32
0.560000, 0.695659, 32
0.570000, 0.730364, 31
0.580000, 0.774992, 31
0.590000, 0.810646, 30
0.600000, 0.830025, 30
0.610000, 0.858772, 29
0.620000, 0.880172, 28
0.630000, 0.895947, 28
0.640000, 0.910006, 27
0.650000, 0.930127, 26
0.660000, 0.935018, 26
0.670000, 0.941740, 25
0.680000, 0.953873, 25
0.690000, 0.960664, 24
0.700000, 0.963884, 24
0.710000, 0.967799, 23
0.720000, 0.975887, 23
0.730000, 0.977650, 23
0.740000, 0.981048, 23
0.750000, 0.984881, 23
0.760000, 0.987269, 22
0.770000, 0.988094, 22
0.780000, 0.990515, 22
0.790000, 0.992950, 22
0.800000, 0.993850, 22
0.810000, 0.994196, 22
0.820000, 0.995558, 22
0.830000, 0.996821, 22
0.840000, 0.997222, 22
0.850000, 0.997718, 22
0.860000, 0.998418, 22
0.870000, 0.998442, 22
0.880000, 0.998946, 22
0.890000, 0.999001, 22
0.900000, 0.999356, 22
0.910000, 0.999663, 22
0.920000, 0.999564, 22
0.930000, 0.999840, 22
0.940000, 0.999887, 22
0.950000, 0.999946, 22
0.960000, 0.999964, 22
0.970000, 0.999982, 22
0.980000, 0.999994, 22
0.990000, 0.999998, 22
1.000000, 1.000000, 22
